loan_id,customer_id,book_id,loan_date,due_date,return_date
5125,560,26,2024-08-06,2024-08-20,2024-08-11
4100,1704,6,2024-12-20,2025-01-03,
5300,2581,2,2024-04-09,2024-04-23,2024-04-26
4240,1485,49,2022-04-18,2022-05-02,2022-04-25
6426,2445,1,2024-07-19,2024-08-02,2024-08-04
2519,2012,1,2021-10-16,2021-10-30,2021-10-18
1630,960,1,2021-12-02,2021-12-16,2021-12-05
3838,412,1,2023-07-09,2023-07-23,2023-07-14
7875,2223,1,2023-01-12,2023-01-26,
6972,1198,3,2024-06-06,2024-06-20,2024-06-18
6979,2490,1,2023-02-22,2023-03-15,2023-03-10
9233,441,5,2024-01-12,2024-01-26,2024-01-18
8923,527,1,2023-02-26,2023-03-12,2023-03-19
6432,2171,1,2023-12-08,2023-12-22,2023-12-12
9549,2319,1,2024-04-14,2024-04-28,2024-04-24
8951,1348,186,2023-09-24,2023-10-08,2023-09-26
2699,1320,1,2024-06-02,2024-06-16,2024-06-10
4363,2320,1,2023-09-05,2023-09-19,2023-09-07
5935,2474,1,2023-06-27,2023-07-11,2023-07-17
7125,185,34,2024-04-03,2024-04-17,2024-04-15
6774,1562,4,2023-03-13,2023-03-27,2023-03-22
2481,2138,1,2024-08-21,2024-09-11,2024-09-07
8842,2724,13,2024-01-03,2024-01-17,2024-01-10
1203,1061,1,2023-11-15,2023-11-29,2023-11-27
1827,1522,15,2022-07-23,2022-08-13,2022-07-24
6643,2616,3,2024-12-22,2025-01-05,
7380,1715,1,2022-10-13,2022-10-27,2022-10-29
1864,2639,1,2023-04-10,2023-04-24,2023-04-27
4211,2411,1,2023-05-23,2023-06-06,2023-06-01
6850,1951,3,2024-05-06,2024-05-20,2024-05-14
7066,2037,2,2024-08-26,2024-09-09,2024-09-07
867,1720,1,2024-08-03,2024-08-17,2024-08-13
9542,1713,4,2023-06-18,2023-07-09,2023-06-21
2397,714,6,2023-11-19,2023-12-03,2023-12-05
9559,2190,1,2024-08-09,2024-08-23,2024-08-25
1258,624,1,2022-08-04,2022-08-18,2022-08-25
3187,2379,1,2024-11-23,2024-12-07,2024-12-04
5443,2276,1,2022-08-04,2022-08-18,2022-08-06
8894,1811,1,2023-10-14,2023-10-28,2023-10-31
1599,1460,3,2024-10-10,2024-10-24,2024-10-29
4660,859,5,2022-10-30,2022-11-13,2022-11-01
6730,2010,1,2021-09-21,2021-10-05,2021-10-03
5310,1846,1,2024-04-15,2024-04-29,2024-05-05
7340,123,7,2024-04-14,2024-04-28,2024-04-29
7358,1157,33,2023-07-26,2023-08-09,2023-07-28
6993,2482,1,2024-11-24,2024-12-08,2024-11-28
1251,24,55,2024-07-07,2024-07-21,2024-07-21
5969,2066,22,2023-10-08,2023-10-22,2023-10-10
4517,1785,4,2024-11-22,2024-12-06,2024-12-02
3065,729,2,2022-12-27,2023-01-10,2023-01-10
9601,2676,2,2023-08-29,2023-09-12,2023-08-31
8815,2548,1,2023-08-25,2023-09-08,2023-09-03
1585,182,3,2024-06-13,2024-06-27,2024-07-03
9493,1419,1,2024-05-08,2024-05-22,2024-06-27
9514,2489,7,2024-05-01,2024-05-22,2024-05-17
7032,2544,1,2024-05-20,2024-06-03,2024-05-24
5710,1187,6,2021-09-14,2021-09-28,2021-09-22
4179,1954,1,2024-10-16,2024-11-06,2024-10-29
143,324,1,2023-01-30,2023-02-13,
1432,32,1,2023-04-08,2023-04-22,2023-04-11
8986,769,2,2024-07-17,2024-07-31,2024-07-18
406,1855,15,2023-07-17,2023-07-31,2023-07-19
6403,2383,2,2024-03-15,2024-03-29,2024-03-20
9214,2430,1,2023-09-14,2023-09-28,2023-09-24
968,1714,2,2024-09-30,2024-10-14,2024-10-18
8315,2144,1,2024-07-19,2024-08-02,2024-07-30
6754,1527,24,2022-02-24,2022-03-10,
5906,2506,1,2022-09-30,2022-10-14,
305,676,1,2024-05-02,2024-05-16,2024-05-12
5485,387,2,2022-05-23,2022-06-13,
1633,2767,1,2023-12-14,2023-12-28,2023-12-20
5720,978,3,2024-11-15,2024-11-29,2024-11-23
487,1970,3,2024-01-26,2024-02-09,2024-02-03
7853,1379,4,2021-09-22,2021-10-06,
9377,398,1,2022-11-20,2022-12-04,2022-11-22
743,1474,5,2021-12-21,2022-01-04,2022-02-03
868,1099,5,2024-01-05,2024-01-19,2024-01-24
4520,2693,3,2021-12-17,2021-12-31,2022-01-02
793,1631,1,2021-07-05,2021-07-19,2021-07-06
6712,259,13,2021-04-20,2021-05-04,2021-05-03
4434,1729,1,2023-02-17,2023-03-03,2023-03-02
3034,1711,1,2021-12-04,2021-12-18,2021-12-07
5765,1459,3,2024-07-08,2024-07-22,2024-07-13
1164,2115,2,2024-08-28,2024-09-18,2024-09-13
8873,2071,4,2024-06-19,2024-07-03,2024-06-21
4120,62,25,2022-09-30,2022-10-14,2022-11-12
5345,1916,3,2020-03-07,2020-03-21,2020-03-09
3927,780,1,2024-05-22,2024-06-12,
7661,469,16,2022-05-13,2022-05-27,2022-05-24
3915,2756,77,2024-09-16,2024-09-30,2024-09-23
3765,1606,2,2022-10-27,2022-11-10,
2909,417,2,2021-10-04,2021-10-18,2021-10-18
4404,1663,1,2023-06-03,2023-06-17,2023-06-06
1977,338,2,2024-01-11,2024-01-25,
8004,1549,2,2024-01-31,2024-02-21,2024-02-25
6589,492,4,2023-09-14,2023-09-28,2023-09-17
7967,264,1,2024-06-03,2024-06-17,2024-06-19
3195,1859,1,2024-03-10,2024-03-24,2024-03-21
832,1225,1,2020-06-03,2020-06-24,2020-07-01
403,831,7,2024-06-11,2024-06-25,2024-06-21
842,638,8,2024-06-05,2024-06-19,2024-06-14
6260,770,2,2022-12-22,2023-01-05,2023-01-12
6680,1114,2,2024-11-25,2024-12-09,
59,1809,9,2024-07-29,2024-08-12,
9179,1171,1,2023-02-03,2023-02-17,2023-02-15
1489,2046,2,2024-10-14,2024-11-04,2024-10-25
1722,2663,1,2022-12-06,2022-12-20,2022-12-14
5372,1374,24,2021-03-30,2021-03-23,2021-05-23
8156,1846,1,2024-11-22,2024-12-06,2024-11-30
8931,2610,1,2022-05-09,2022-05-23,2022-05-17
5988,1563,2,2024-05-15,2024-05-29,2024-05-16
7647,338,30,2024-06-12,2024-06-26,2024-07-03
664,2220,1,2021-04-05,2021-04-26,2021-04-22
6882,700,1,2021-12-27,2022-01-10,2022-01-03
905,2158,81,2024-09-14,2024-09-28,2024-09-27
8521,1187,16,2024-05-16,2024-05-30,2024-05-18
4840,2529,3,2024-06-27,2024-07-18,2024-07-02
5075,50,48,2022-08-17,2022-08-31,2022-09-02
5362,2044,10,2024-06-01,2024-06-15,
940,1873,2,2023-12-14,2023-12-28,
5150,1545,12,2023-02-15,2023-03-01,2023-03-06
5207,2377,5,2024-05-09,2024-05-23,2024-05-28
9232,402,1,2022-11-27,2022-12-11,2022-12-15
8657,1077,1,2024-11-14,2024-11-28,2024-12-01
205,1886,3,2024-06-18,2024-07-02,2024-06-22
6928,831,1,2022-08-04,2022-08-18,
990,1021,2,2024-11-18,2024-12-02,2024-11-25
5707,2765,1,2023-05-26,2023-06-09,2023-05-28
8554,2493,9,2021-09-13,2021-09-27,2021-09-20
6955,2783,2,2024-11-23,2024-12-07,2024-11-30
5794,2386,48,2021-08-11,2021-08-25,
8656,784,4,2024-10-22,2024-11-05,2024-11-05
9528,2698,2,2022-12-12,2022-12-26,2022-12-20
7677,51,1,2024-08-02,2024-08-16,2024-08-12
7321,2351,2,2023-10-31,2023-11-14,2023-11-01
9311,2510,1,2023-03-11,2023-03-25,2023-03-18
1126,2642,1,2024-06-21,2024-07-05,2024-06-23
1857,1276,9,2024-09-20,2024-10-04,2024-09-27
1653,2561,28,2023-02-22,2023-03-08,2023-03-14
929,894,7,2023-12-25,2024-01-08,2024-01-04
2598,1488,2,2022-03-28,2022-04-11,2022-04-10
441,1253,1,2022-12-13,2022-12-27,2022-12-19
5669,619,1,2024-08-23,2024-09-13,
4600,2441,7,2022-04-05,2022-04-19,2022-04-12
5013,289,2,2024-10-30,2024-11-13,2024-11-07
5160,459,6,2022-10-27,2022-11-17,2022-10-29
4170,404,1,2024-01-07,2024-01-28,2024-01-24
9288,310,1,2023-05-05,2023-05-19,2023-05-12
977,2170,19,2024-10-20,2024-11-03,2024-11-09
6384,2458,1,2024-06-26,2024-07-10,2024-07-16
8122,1869,3,2022-09-01,2022-09-15,2022-10-19
6196,1781,1,2021-01-19,2021-02-02,2021-02-01
3969,866,3,2021-10-04,2021-10-18,2021-10-17
134,2410,189,2023-12-03,2023-12-17,2023-12-09
6938,2301,1,2023-06-11,2023-06-25,2023-07-04
772,2089,1,2022-09-13,2022-09-27,2022-09-22
5271,264,7,2024-09-07,2024-09-21,
6900,2741,3,2024-01-06,2024-01-20,2024-01-22
9486,614,5,2023-03-11,2023-04-01,2023-04-06
4102,1614,1,2024-04-08,2024-04-22,2024-04-20
6592,351,1,2023-09-18,2023-10-02,2023-11-11
3299,1529,1,2024-07-04,2024-07-18,2024-07-13
6398,90,1,2022-11-09,2022-11-23,2022-11-11
4764,2481,1,2024-10-26,2024-11-09,2024-10-30
3971,2493,26,2022-11-02,2022-11-16,2022-11-04
6327,2764,5,2023-10-16,2023-10-30,
7624,2319,22,2024-11-24,2024-12-08,2024-12-10
1215,586,1,2021-10-14,2021-11-04,2021-10-30
2946,929,1,2020-11-04,2020-11-25,2020-11-21
6128,233,1,2024-04-12,2024-04-26,2024-04-18
2713,2324,1,2023-02-10,2023-02-24,
7555,1061,1,2024-08-06,2024-08-20,2024-08-19
5506,757,4,2022-12-13,2022-12-27,2022-12-23
2773,872,88,2024-09-23,2024-10-14,2024-10-09
6191,1592,2,2024-05-16,2024-05-30,2024-06-14
7642,54,6,2022-10-12,2022-10-26,2022-10-17
8325,888,1,2023-09-04,2023-09-18,
3803,261,2,2021-11-20,2021-12-04,2021-11-22
3959,2190,1,2024-08-09,2024-08-23,2024-08-25
1934,1157,1,2022-11-06,2022-11-20,2022-11-15
5196,2351,1,2023-04-03,2023-04-17,2023-04-13
7034,505,1,2023-10-07,2023-10-21,2023-10-12
8160,1800,1,2024-07-14,2024-07-28,2024-08-29
5998,2250,1,2024-10-15,2024-10-29,2024-10-25
1557,719,1,2023-11-14,2023-12-05,2023-12-02
3944,2177,10,2023-09-13,2023-10-04,2023-09-14
5661,175,4,2020-09-03,2020-09-17,2020-09-23
6296,1109,1,2022-07-23,2022-08-06,2022-08-10
21,930,3,2024-08-20,2024-09-10,2024-09-07
776,2253,1,2021-11-25,2021-12-09,2021-12-08
8810,2010,1,2024-08-25,2024-09-08,
5178,656,1,2022-07-05,2022-07-19,2022-07-21
1462,195,1,2023-09-24,2023-10-08,2023-10-14
7693,342,16,2023-06-28,2023-07-12,
8647,1611,1,2024-09-03,2024-09-17,2024-09-04
9114,2199,1,2023-10-25,2023-11-08,2023-11-02
5401,740,1,2023-10-28,2023-11-11,2023-11-03
4579,1423,3,2024-03-20,2024-04-03,2024-05-07
555,324,26,2023-11-22,2023-12-06,2023-11-28
6557,1728,5,2023-05-22,2023-06-05,2023-05-23
7322,1048,1,2024-10-27,2024-11-10,2024-12-11
642,2240,11,2024-08-06,2024-08-20,2024-08-15
2493,1002,178,2024-06-20,2024-07-04,2024-06-23
2017,1593,33,2020-07-13,2020-08-03,2020-09-17
8227,282,1,2024-09-06,2024-09-20,2024-09-07
5561,143,2,2024-08-23,2024-09-06,2024-08-31
4554,615,4,2024-09-13,2024-09-27,2024-09-16
559,1936,8,2021-07-24,2021-08-07,2021-08-18
1053,1632,1,2023-11-26,2023-12-10,2023-12-04
8077,1240,63,2023-12-16,2023-12-30,2024-01-02
3120,441,5,2022-10-21,2022-11-04,2022-11-04
6909,1592,1,2024-08-05,2024-08-19,2024-08-18
3985,1570,2,2021-11-14,2021-11-28,2021-11-23
1538,960,1,2024-04-30,2024-05-14,2024-05-18
1884,1798,70,2023-03-23,2023-04-06,2023-04-13
5244,871,6,2024-02-01,2024-02-22,2024-02-09
4492,1044,1,2023-11-04,2023-11-18,2023-11-05
8990,2555,2,2022-03-16,2022-03-30,2022-03-18
4257,1435,1,2022-12-30,2023-01-13,2023-01-03
7582,563,6,2021-04-22,2021-05-06,2021-04-24
7794,1984,1,2024-11-14,2024-11-28,2024-11-28
4800,831,8,2020-03-18,2020-04-01,2020-03-21
8373,1220,3,2024-07-29,2024-08-12,
9045,568,22,2024-01-08,2024-01-22,2024-01-24
6313,2315,1,2024-03-28,2024-04-11,2024-04-10
2387,119,2,2023-02-09,2023-02-23,2023-04-09
2421,2468,18,2023-12-18,2024-01-01,2024-01-06
1930,2035,1,2023-01-16,2023-01-30,2023-01-26
1199,701,1,2024-09-25,2024-10-09,2024-09-30
9016,2777,2,2024-06-24,2024-07-08,2024-07-06
8171,1237,32,2022-03-09,2022-03-23,2022-03-22
8941,1785,5,2024-11-03,2024-11-17,2024-11-10
7043,452,2,2024-04-01,2024-04-15,2024-04-04
4759,1640,1,2023-10-13,2023-11-03,2023-10-14
9247,1974,7,2024-10-06,2024-10-20,
4004,1328,22,2024-11-07,2024-11-21,2024-11-25
4264,413,2,2024-07-30,2024-08-13,2024-08-01
4887,2672,9,2021-03-18,2021-04-01,
1987,2065,1,2023-01-13,2023-01-27,
7407,1108,2,2021-12-01,2021-12-15,2021-12-06
7796,1119,5,2023-11-15,2023-11-29,2023-11-26
813,1563,2,2024-09-24,2024-10-08,2024-10-02
4346,2062,1,2023-08-03,2023-08-24,2023-08-15
5327,1964,4,2024-08-06,2024-08-20,
7856,1010,1,2024-06-03,2024-06-17,2024-06-16
1818,1423,65,2024-07-15,2024-07-29,2024-07-18
6558,2041,12,2022-07-06,2022-07-20,2022-07-18
7147,347,17,2024-11-19,2024-12-03,2024-12-03
5639,588,4,2023-12-28,2024-01-11,2024-01-07
1986,1044,1,2023-10-19,2023-11-02,2023-11-04
6739,1299,5,2023-03-30,2023-04-13,2023-04-14
4681,455,51,2024-07-18,2024-08-01,2024-08-13
5527,525,1,2024-09-05,2024-09-19,2024-09-13
7336,402,1,2022-03-18,2022-04-01,2022-03-24
218,1133,31,2024-05-05,2024-05-19,2024-05-25
6768,1986,1,2024-10-14,2024-10-28,2024-10-17
5237,2119,2,2023-01-20,2023-02-10,2023-01-24
5154,1486,4,2024-01-27,2024-02-10,2024-02-13
99,201,2,2023-10-04,2023-10-18,2023-10-16
2011,1007,1,2021-11-23,2021-12-14,2021-12-21
2000,2715,3,2024-09-19,2024-10-03,2024-09-22
1122,113,1,2020-02-27,2020-03-19,2020-03-21
3523,1371,1,2024-06-28,2024-07-12,2024-08-20
4822,1377,1,2022-07-31,2022-08-14,2022-08-20
8365,24,2,2024-05-26,2024-06-09,2024-06-02
7518,1355,6,2023-09-22,2023-10-13,2023-10-05
2716,2552,2,2024-09-24,2024-10-08,2024-09-25
7416,1899,1,2022-07-16,2022-08-06,2022-08-21
1835,877,14,2024-02-23,2024-03-08,2024-03-05
2631,564,3,2023-08-03,2023-08-17,2023-08-18
587,1374,12,2024-12-07,2024-12-28,2025-01-04
682,1142,3,2021-01-11,2021-01-25,2021-01-19
1984,417,11,2023-01-25,2023-02-08,2023-03-25
6036,402,53,2024-09-26,2024-10-10,2024-10-01
7268,741,53,2024-02-05,2024-02-19,2024-02-12
1357,2412,6,2023-03-10,2023-03-31,2023-04-05
177,1066,1,2021-08-12,2021-08-26,
7686,994,6,2020-04-28,2020-05-12,2020-05-15
4932,2403,5,2023-11-23,2023-12-07,2023-12-02
1643,1473,5,2024-03-19,2024-04-02,2024-03-31
2377,38,1,2024-02-11,2024-02-25,2024-02-13
27,982,6,2023-04-08,2023-04-29,2023-04-28
7896,1254,2,2024-05-09,2024-05-30,2024-05-25
517,1015,165,2021-01-09,2021-01-23,2021-02-10
9167,377,6,2024-11-15,2024-11-29,2024-12-04
6815,979,9,2022-03-18,2022-04-01,2022-03-30
3627,675,1,2023-07-18,2023-08-01,2023-08-06
2802,29,1,2023-02-21,2023-03-07,2023-02-28
7907,1937,57,2023-06-03,2023-06-17,
7576,2575,113,2024-10-21,2024-11-04,2024-10-24
2666,2301,1,2023-01-28,2023-02-18,2023-02-24
4195,451,6,2024-08-29,2024-09-12,2024-09-01
5594,1109,9,2022-12-08,2022-12-22,2022-12-27
8013,1056,2,2024-10-30,2024-11-13,2024-11-03
9428,2296,1,2023-08-15,2023-08-29,2023-08-19
1130,209,28,2023-10-21,2023-11-04,2023-10-31
2005,2626,1,2024-04-11,2024-05-02,2024-04-18
6708,369,1,2023-03-17,2023-03-31,2023-03-29
3903,1150,3,2024-06-23,2024-07-07,2024-06-28
311,2632,27,2021-06-25,2021-07-09,2021-07-14
8028,2733,5,2024-08-24,2024-09-14,2024-08-27
1235,1811,2,2024-04-22,2024-05-06,2024-04-30
7892,2662,9,2021-07-28,2021-08-11,2021-08-07
7297,2120,1,2022-07-21,2022-08-04,2022-08-03
8198,1435,49,2023-11-20,2023-12-04,2023-12-02
1595,2574,1,2023-01-09,2023-01-23,2023-01-29
695,134,2,2021-09-15,2021-09-29,2021-09-28
4356,1864,5,2022-04-24,2022-05-08,2022-05-05
6279,2553,138,2024-08-18,2024-09-08,2024-09-25
4504,1327,3,2024-10-07,2024-10-21,2024-10-26
3800,725,6,2024-12-04,2024-12-18,2024-12-17
3500,2155,8,2023-09-02,2023-09-16,2023-09-09
1691,1360,1,2023-12-09,2023-12-23,2023-12-15
6648,2791,94,2023-05-31,2023-06-14,2023-06-16
4019,2294,1,2020-01-06,2020-01-20,2020-01-17
6785,1672,85,2024-05-03,2024-05-17,2024-05-09
4591,659,85,2024-07-23,2024-08-06,2024-08-10
6736,2177,101,2023-06-08,2023-06-29,2023-06-16
7248,2451,1,2023-08-29,2023-09-12,2023-09-09
638,1808,5,2022-07-27,2022-08-10,
7983,1350,44,2021-11-14,2021-11-28,2021-11-23
6751,2279,1,2024-10-19,2024-11-02,2024-10-24
7785,2797,1,2022-02-01,2022-02-15,2022-02-15
9225,1618,1,2024-11-02,2024-11-16,2024-11-07
5425,1788,1,2023-07-11,2023-08-01,2023-07-24
8414,1164,1,2024-11-23,2024-12-07,2024-12-07
2712,532,2,2023-12-08,2023-12-22,2023-12-27
3319,562,1,2024-10-22,2024-11-05,2024-11-01
7520,103,1,2023-09-15,2023-09-29,2023-09-30
6826,2075,1,2024-01-13,2024-01-27,2024-01-31
836,372,1,2023-06-10,2023-07-01,
3994,1190,1,2022-06-24,2022-07-15,2022-07-18
2693,152,1,2024-05-08,2024-05-22,2024-05-26
872,606,25,2024-11-24,2024-12-08,2024-11-29
8827,1089,3,2024-04-02,2024-04-16,2024-04-18
12,1632,1,2023-04-19,2023-05-03,2023-05-02
5378,1364,1,2024-08-17,2024-08-31,2024-08-19
1037,935,1,2023-10-15,2023-10-29,2023-12-06
4607,2656,4,2022-05-15,2022-05-29,2022-05-28
988,2328,8,2022-02-12,2022-02-26,
2462,2155,153,2023-11-27,2023-12-11,2023-12-07
2110,2333,5,2024-04-12,2024-05-03,2024-05-05
3754,2676,3,2021-05-05,2021-05-26,2021-06-01
8684,2165,5,2023-09-23,2023-10-07,2023-09-29
9356,1776,1,2021-04-03,2021-04-17,2021-05-23
349,10,3,2024-01-10,2024-01-31,2024-02-02
7452,2165,1,2023-08-06,2023-08-27,2023-08-27
3278,1113,2,2024-02-12,2024-02-26,2024-02-13
5409,1569,5,2023-11-28,2023-12-12,2023-12-01
4169,2403,1,2024-03-06,2024-03-20,2024-03-24
9432,347,2,2024-08-12,2024-08-26,2024-08-24
6771,1648,1,2023-02-06,2023-02-20,2023-02-19
9475,778,3,2020-08-08,2020-08-22,2020-08-21
1300,1870,1,2021-04-28,2021-05-12,2021-05-28
4337,2052,1,2022-12-25,2023-01-08,2022-12-30
4158,2183,1,2024-03-26,2024-04-09,2024-03-31
4618,1384,10,2023-08-10,2023-08-24,2023-08-25
8741,2244,13,2024-03-22,2024-04-05,2024-03-31
5801,615,1,2024-11-11,2024-11-25,2024-11-22
8362,1299,2,2022-05-18,2022-06-01,2022-06-04
2221,2558,26,2023-10-25,2023-11-08,2023-11-05
3823,1591,1,2020-07-26,2020-08-09,2020-07-27
2576,701,2,2022-12-13,2022-12-27,2023-01-02
1202,1620,1,2023-08-12,2023-08-26,2023-08-27
8133,2096,19,2024-11-19,2024-12-03,2024-11-26
8738,2423,1,2024-07-04,2024-07-18,2024-07-07
5548,521,4,2023-10-03,2023-10-17,2023-10-16
2918,1227,6,2022-07-27,2022-08-10,2022-08-09
1080,86,1,2024-06-28,2024-07-12,2024-07-05
8619,812,1,2022-08-05,2022-08-19,2022-08-13
1085,2204,35,2023-08-24,2023-09-07,2023-09-03
4605,80,1,2022-12-03,2022-12-17,2022-12-06
1441,2715,13,2024-05-26,2024-06-09,2024-06-08
4839,2287,1,2024-10-28,2024-11-11,2024-11-01
6701,2111,4,2024-10-19,2024-11-02,2024-10-20
6163,1814,1,2024-09-08,2024-09-22,2024-09-26
8215,2250,3,2024-01-10,2024-01-24,2024-01-14
7138,2117,3,2022-06-09,2022-06-23,2022-06-20
7862,800,6,2022-06-09,2022-06-23,2022-06-19
1982,1320,3,2024-10-11,2024-10-25,2024-10-21
6720,127,8,2021-03-07,2021-03-21,
8814,1905,1,2024-09-03,2024-09-17,2024-09-04
4047,703,1,2024-09-22,2024-10-06,2024-09-24
5161,863,1,2021-09-27,2021-10-11,2021-10-02
3747,1714,6,2024-08-22,2024-09-05,2024-08-30
115,854,1,2022-12-17,2022-12-31,2023-01-03
8493,306,1,2023-03-17,2023-03-31,2023-03-20
816,417,1,2024-10-05,2024-10-19,2024-10-21
4236,574,22,2023-03-02,2023-03-23,2023-03-03
731,1291,53,2023-09-10,2023-09-24,2023-09-23
4986,1895,2,2023-10-28,2023-11-11,2023-11-08
8753,825,141,2024-12-23,2025-01-06,
2957,38,3,2023-09-29,2023-10-13,2023-10-16
7943,1704,34,2024-11-08,2024-11-22,2024-11-09
8805,1883,107,2023-11-23,2023-12-07,2023-11-30
4852,1022,48,2023-08-24,2023-09-07,
511,1777,1,2022-09-15,2022-09-29,2022-10-21
3561,192,1,2023-12-18,2024-01-01,2024-01-03
5569,779,6,2023-08-24,2023-09-07,2023-09-01
1859,589,1,2024-05-22,2024-06-05,2024-06-04
2553,1344,2,2023-07-10,2023-07-24,2023-07-12
1572,701,1,2023-01-17,2023-01-31,2023-01-24
843,1547,1,2024-10-18,2024-11-01,2024-10-30
1636,2746,7,2021-08-28,2021-09-11,2021-09-01
3647,2358,1,2023-01-31,2023-02-14,2023-02-03
4569,2064,4,2022-10-08,2022-10-22,2022-10-25
2752,1236,1,2023-02-09,2023-02-23,2023-02-12
