order_id,customer_id,book_id,order_date,quantity,status
23493,997,2,2022-07-02,1,DELIVERED
614,2072,3,2021-12-08,1,DELIVERED
13581,1306,13,2022-03-07,1,DELIVERED
27362,979,44,2020-01-01,3,DELIVERED
8568,1734,4,2023-10-17,2,DELIVERED
19076,2466,8,2024-06-02,1,DELIVERED
7349,1692,7,2023-10-19,2,DELIVERED
166,2133,8,2024-03-15,1,DELIVERED
3862,1319,3,2021-07-16,4,PENDING
6002,1499,1,2021-07-11,1,DELIVERED
25375,172,1,2023-08-01,1,DELIVERED
19564,2321,11,2023-09-14,2,DELIVERED
10345,96,3,2022-08-28,1,DELIVERED
4907,1505,3,2024-04-11,1,DELIVERED
13433,969,1,2024-12-20,6,SHIPPED
13126,1309,2,2023-10-07,1,DELIVERED
9371,1466,5,2023-01-26,1,DELIVERED
8003,1436,2,2021-10-13,1,PENDING
13542,1618,7,2024-11-13,1,DELIVERED
12575,1316,4,2022-10-27,1,CANCELLED
24677,143,11,2024-11-01,3,DELIVERED
15887,2730,1,2024-05-10,2,DELIVERED
12355,793,1,2024-02-04,2,DELIVERED
24485,152,3,2024-10-09,2,DELIVERED
19571,802,3,2022-01-02,1,DELIVERED
5089,746,1,2023-03-11,1,DELIVERED
24038,413,2,2024-11-12,1,DELIVERED
14882,354,1,2024-09-27,3,DELIVERED
9854,52,12,2022-12-26,1,DELIVERED
3096,1368,2,2024-11-19,1,DELIVERED
8287,326,1,2023-10-28,1,DELIVERED
11237,932,6,2024-09-13,1,DELIVERED
23651,2394,10,2024-06-14,1,DELIVERED
2075,285,39,2022-08-23,1,DELIVERED
23567,1258,1,2024-10-23,1,DELIVERED
27708,2765,1,2023-07-05,1,DELIVERED
22230,1473,3,2023-04-13,1,DELIVERED
3353,764,2,2023-12-03,1,DELIVERED
10580,876,2,2022-08-29,1,DELIVERED
17946,1693,5,2024-06-08,1,DELIVERED
1022,1992,1,2023-12-18,1,DELIVERED
24365,52,1,2022-05-15,5,DELIVERED
27840,2249,77,2022-11-15,1,DELIVERED
6548,1784,1,2024-08-07,2,DELIVERED
21465,599,1,2023-10-03,1,DELIVERED
16965,2755,1,2022-01-25,1,CANCELLED
977,390,10,2022-10-20,1,DELIVERED
15055,1336,1,2020-07-17,2,DELIVERED
546,273,3,2023-10-24,1,CANCELLED
11370,1700,2,2022-09-07,8,DELIVERED
15684,327,9,2022-11-25,2,DELIVERED
14892,256,2,2022-09-01,1,DELIVERED
14478,1440,1,2023-01-25,1,DELIVERED
12824,149,1,2024-07-29,1,DELIVERED
11713,1773,1,2022-06-15,1,DELIVERED
19980,2673,1,2024-11-10,5,DELIVERED
22814,856,6,2023-01-02,6,DELIVERED
4184,1496,3,2024-06-13,3,SHIPPED
7509,1995,1,2024-09-17,-1,DELIVERED
21742,1882,3,2024-06-12,1,DELIVERED
25143,695,9,2024-11-22,2,CANCELLED
27773,2582,6,2022-01-09,-1,PENDING
9096,427,1,2023-01-20,2,SHIPPED
21316,1887,5,2024-08-14,1,DELIVERED
23362,961,1,2021-12-29,4,DELIVERED
7999,2588,1,2024-09-07,2,DELIVERED
23832,2679,4,2023-12-16,1,DELIVERED
2495,234,10,2023-12-03,5,CANCELLED
11755,1718,13,2024-04-17,2,DELIVERED
21406,1584,2,2024-06-10,6,DELIVERED
3953,1262,30,2024-06-17,2,DELIVERED
15614,1357,53,2023-09-26,1,DELIVERED
20686,2304,3,2020-11-21,1,SHIPPED
7237,1903,5,2024-11-04,4,DELIVERED
14459,1281,1,2024-11-22,2,SHIPPED
21582,2185,2,2021-03-09,4,PENDING
7120,1919,1,2021-02-22,1,DELIVERED
23409,482,1,2024-08-24,1,DELIVERED
25578,386,3,2024-09-16,2,PENDING
16211,855,1,2022-02-05,4,DELIVERED
26971,847,1,2024-12-24,1,DELIVERED
5719,2666,1,2024-01-04,1,CANCELLED
16610,1530,19,2024-05-29,1,DELIVERED
4070,1580,3,2023-09-10,1,SHIPPED
1813,142,24,2022-08-29,1,DELIVERED
19335,1057,1,2023-11-05,1,SHIPPED
1225,2579,1,2021-08-19,1,DELIVERED
7417,1659,22,2024-11-03,3,DELIVERED
25587,1782,61,2023-10-18,1,DELIVERED
26857,2686,3,2024-11-18,-2,CANCELLED
19468,2542,1,2023-08-20,3,DELIVERED
7541,1547,2,2024-07-29,5,DELIVERED
1625,2017,22,2020-04-12,1,DELIVERED
13373,405,39,2024-10-27,1,DELIVERED
3078,2746,19,2022-10-09,1,DELIVERED
23822,769,1,2024-12-01,1,PENDING
22394,1617,1,2024-11-11,1,DELIVERED
17118,455,4,2024-08-03,1,DELIVERED
2676,536,1,2024-09-02,5,PENDING
3470,479,11,2023-08-05,8,DELIVERED
14862,1770,1,2022-05-10,2,CANCELLED
25859,1912,1,2024-09-04,1,DELIVERED
5182,1157,12,2024-12-21,1,CANCELLED
2615,899,1,2024-07-01,1,SHIPPED
13383,250,2,2020-03-23,2,DELIVERED
4611,2228,5,2024-07-07,1,DELIVERED
19235,2101,10,2024-08-28,5,DELIVERED
22104,2390,15,2024-05-29,1,DELIVERED
20299,26,1,2021-10-04,1,DELIVERED
23812,1817,1,2023-09-25,4,DELIVERED
5329,2668,7,2022-09-28,1,DELIVERED
26465,751,1,2024-09-09,8,DELIVERED
22066,286,1,2022-08-29,1,DELIVERED
5435,871,128,2023-10-16,1,DELIVERED
5583,2583,2,2023-09-05,2,DELIVERED
1278,2487,10,2023-11-21,3,DELIVERED
6918,177,1,2020-02-05,1,DELIVERED
7934,710,10,2020-12-12,1,DELIVERED
5697,277,2,2023-10-06,1,DELIVERED
1651,1820,1,2024-09-20,1,DELIVERED
12233,561,1,2024-10-14,1,SHIPPED
12089,1264,4,2022-02-18,1,DELIVERED
8520,2619,15,2022-10-19,1,DELIVERED
21336,2507,21,2024-08-12,3,DELIVERED
9660,486,1,2021-12-30,4,DELIVERED
13316,513,6,2022-11-12,1,CANCELLED
7245,1928,13,2022-08-20,3,DELIVERED
20649,1780,1,2024-03-07,2,CANCELLED
24075,1944,1,2020-12-14,4,DELIVERED
14054,280,54,2023-06-29,1,DELIVERED
21969,2733,1,2024-11-19,3,SHIPPED
26518,2324,29,2020-01-28,1,DELIVERED
944,366,1,2023-08-04,2,DELIVERED
2315,561,3,2022-12-22,8,DELIVERED
7920,630,2,2024-11-07,4,DELIVERED
1803,717,50,2022-11-05,6,PENDING
4171,2467,1,2022-06-26,5,SHIPPED
22516,2635,12,2024-11-21,1,DELIVERED
13642,2660,1,2023-06-12,3,DELIVERED
18134,987,13,2022-11-04,1,DELIVERED
18640,1436,2,2024-09-18,1,DELIVERED
3738,471,1,2024-07-27,1,DELIVERED
20278,2174,1,2024-05-08,4,DELIVERED
12021,683,4,2022-01-19,1,DELIVERED
19708,1473,2,2024-09-02,8,DELIVERED
12868,1882,1,2023-12-02,1,SHIPPED
19526,1123,1,2024-10-16,2,DELIVERED
16798,1462,3,2024-10-19,3,DELIVERED
15006,1816,1,2023-06-02,1,DELIVERED
26319,2401,1,2023-12-01,1,DELIVERED
28185,801,1,2023-05-24,1,CANCELLED
27514,2133,1,2024-02-02,2,PROCESSING
20604,143,9,2024-08-13,2,DELIVERED
18000,227,1,2023-10-05,4,DELIVERED
23069,2766,28,2021-07-12,1,DELIVERED
423,1754,2,2024-12-04,2,SHIPPED
1240,1815,2,2022-09-20,2,DELIVERED
20560,990,3,2020-11-11,1,DELIVERED
14904,373,1,2024-11-26,2,DELIVERED
12609,660,1,2023-02-15,1,DELIVERED
12347,2338,1,2024-04-16,4,DELIVERED
23127,2410,10,2023-11-30,8,PENDING
6193,1272,5,2024-12-27,2,CANCELLED
17126,1024,4,2022-12-14,1,DELIVERED
20289,958,4,2022-04-18,2,CANCELLED
4126,2454,31,2023-11-29,1,DELIVERED
27039,2481,7,2024-10-01,1,DELIVERED
15427,1490,3,2024-11-08,1,DELIVERED
16751,2280,10,2021-12-30,2,SHIPPED
21088,1232,2,2022-01-28,2,DELIVERED
15720,1328,3,2024-11-08,2,DELIVERED
23169,666,22,2023-05-06,1,CANCELLED
26874,1203,1,2023-09-05,1,SHIPPED
25137,786,1,2022-02-27,5,SHIPPED
6461,1700,1,2023-08-06,1,DELIVERED
13003,66,14,2020-03-09,4,DELIVERED
8454,1462,2,2024-03-20,1,DELIVERED
23827,794,3,2022-07-07,1,DELIVERED
19164,955,1,2022-11-28,1,DELIVERED
7006,2467,1,2022-03-23,2,DELIVERED
15201,414,1,2021-11-29,3,DELIVERED
8417,1952,1,2024-06-28,4,DELIVERED
12636,2636,34,2024-10-20,1,DELIVERED
12476,605,2,2022-02-06,2,DELIVERED
24335,1765,2,2023-07-23,1,DELIVERED
7665,219,1,2022-12-18,8,DELIVERED
19691,1943,5,2024-10-10,1,DELIVERED
8835,435,1,2024-08-11,1,DELIVERED
4092,428,2,2022-11-04,2,CANCELLED
16341,2590,4,2020-09-18,1,DELIVERED
11497,1499,180,2024-07-03,2,DELIVERED
14738,2680,1,2022-09-26,1,PENDING
13042,2043,2,2024-05-31,1,DELIVERED
8232,600,2,2024-03-24,1,DELIVERED
4977,1184,6,2023-08-18,1,DELIVERED
24019,127,11,2020-07-12,1,DELIVERED
20672,518,1,2024-06-06,2,DELIVERED
23298,2108,5,2024-06-29,1,CANCELLED
2034,690,3,2021-06-19,2,DELIVERED
12063,2219,1,2024-05-15,1,DELIVERED
1451,1450,38,2022-03-21,1,DELIVERED
19042,2696,4,2023-10-28,6,DELIVERED
22339,651,10,2023-07-05,1,DELIVERED
9041,1920,2,2021-08-09,1,DELIVERED
4236,785,1,2024-12-17,1,SHIPPED
15542,2758,1,2022-10-03,1,DELIVERED
23284,2799,1,2020-02-27,1,SHIPPED
20603,994,1,2023-08-12,3,DELIVERED
23699,2773,2,2022-09-17,1,DELIVERED
10474,1584,1,2021-08-22,1,DELIVERED
1632,2442,1,2022-12-11,4,DELIVERED
12467,1808,25,2021-12-06,1,DELIVERED
19596,2319,1,2024-10-20,3,DELIVERED
9604,1687,10,2024-10-27,2,DELIVERED
1495,2295,1,2024-12-22,8,DELIVERED
4692,2536,4,2024-12-12,1,DELIVERED
5467,1138,3,2023-08-26,1,CANCELLED
27754,1431,1,2024-03-10,3,DELIVERED
26504,1587,1,2023-02-24,1,DELIVERED
25279,1046,5,2023-11-08,1,DELIVERED
24587,1030,2,2024-05-20,1,DELIVERED
25197,1911,7,2022-01-16,1,DELIVERED
15308,437,1,2024-09-30,2,DELIVERED
19914,290,1,2023-05-22,2,DELIVERED
3858,618,14,2024-11-16,1,PENDING
19752,51,37,2024-04-03,1,HOLD
21630,1219,1,2020-07-10,5,SHIPPED
15332,1414,5,2024-11-05,1,DELIVERED
27060,971,3,2024-03-23,2,DELIVERED
2842,2556,1,2024-04-04,2,DELIVERED
1369,384,3,2023-07-27,10,DELIVERED
5828,1281,1,2023-03-03,1,DELIVERED
317,2676,3,2023-11-20,1,DELIVERED
4008,803,6,2024-07-13,2,DELIVERED
16937,2650,18,2024-10-05,2,DELIVERED
18847,1597,1,2024-12-03,1,DELIVERED
14059,2151,6,2021-04-04,1,DELIVERED
24308,639,31,2024-09-02,2,SHIPPED
24786,1307,1,2021-05-15,1,DELIVERED
13006,878,4,2021-05-01,3,PROCESSING
27954,318,2,2024-12-20,4,DELIVERED
6993,475,4,2023-10-10,1,SHIPPED
12789,475,1,2022-10-21,1,DELIVERED
19370,296,2,2023-06-01,1,DELIVERED
8506,1035,9,2024-02-14,1,DELIVERED
2554,1039,1,2023-06-15,1,SHIPPED
27818,2208,13,2024-10-09,2,DELIVERED
12909,1490,18,2022-01-23,1,CANCELLED
8859,2584,1,2024-08-11,2,DELIVERED
4676,1844,1,2022-12-10,1,DELIVERED
8008,542,1,2024-08-29,1,SHIPPED
13077,679,1,2024-11-25,8,DELIVERED
15754,61,1,2023-06-24,3,DELIVERED
5601,1685,3,2020-07-26,2,DELIVERED
25441,311,188,2024-01-18,5,DELIVERED
13342,2180,1,2023-12-15,1,DELIVERED
20799,2342,1,2021-12-23,1,DELIVERED
16713,478,1,2021-11-05,3,DELIVERED
20785,1267,1,2024-04-03,1,CANCELLED
14736,1656,2,2023-08-11,1,SHIPPED
24777,1874,143,2024-06-06,1,DELIVERED
22570,2421,1,2023-05-14,1,DELIVERED
22295,192,1,2023-10-30,1,CANCELLED
5944,470,1,2024-05-04,1,DELIVERED
7832,120,11,2022-11-21,1,DELIVERED
27045,1097,20,2023-09-23,5,DELIVERED
21558,1929,10,2024-05-13,1,DELIVERED
25547,259,1,2022-11-07,2,DELIVERED
24286,1923,3,2021-12-06,1,delivered
7834,352,1,2023-10-30,1,DELIVERED
22995,1132,1,2023-08-31,3,DELIVERED
24564,980,3,2024-09-17,1,SHIPPED
3934,219,1,2022-04-18,1,DELIVERED
3678,1278,21,2024-10-15,3,DELIVERED
25428,2404,10,2022-06-20,1,DELIVERED
8904,1239,2,2024-11-30,1,CANCELLED
7577,1110,4,2020-11-17,1,DELIVERED
6875,1818,2,2023-05-10,1,SHIPPED
17823,337,1,2024-08-13,1,DELIVERED
2408,1295,1,2022-10-17,1,DELIVERED
12893,2233,10,2024-11-05,8,PENDING
10395,622,2,2024-12-29,2,DELIVERED
11710,524,2,2024-08-02,1,DELIVERED
24272,1156,17,2022-10-27,1,DELIVERED
752,781,1,2024-08-22,1,DELIVERED
10649,1832,1,2021-06-13,1,DELIVERED
17219,90,2,2024-08-21,999,DELIVERED
5030,1023,128,2024-09-11,1,DELIVERED
27083,1086,1,2024-10-28,1,DELIVERED
377,201,11,2024-11-02,1,PENDING
6448,587,1,2022-03-04,2,DELIVERED
25720,886,1,2024-06-11,2,DELIVERED
22562,1626,10,2023-05-14,1,SHIPPED
5815,1381,2,2023-08-23,1,DELIVERED
16477,764,1,2022-10-02,1,CANCELLED
3273,1475,2,2021-05-04,2,SHIPPED
5037,1378,1,2022-12-25,1,DELIVERED
4163,430,2,2020-02-06,2,CANCELLED
19066,90,1,2023-12-04,1,DELIVERED
22959,2022,2,2024-04-28,1,DELIVERED
20268,2593,1,2024-09-21,6,DELIVERED
5172,2426,1,2022-05-08,3,DELIVERED
3951,981,2,2024-12-30,1,SHIPPED
11092,1805,1,2024-07-02,5,DELIVERED
19112,879,63,2022-08-02,1,DELIVERED
3270,2696,1,2022-09-21,2,DELIVERED
26127,966,4,2023-04-14,8,DELIVERED
18741,2212,4,2023-09-19,6,DELIVERED
6406,1743,1,2020-01-26,1,CANCELLED
20112,123,1,2024-12-24,1,SHIPPED
18299,63,3,2023-07-03,1,CANCELLED
5078,1690,9,2024-12-09,2,DELIVERED
11253,476,2,2022-12-23,1,DELIVERED
2483,1237,2,2021-02-25,1,DELIVERED
19356,1932,13,2024-09-11,1,DELIVERED
3357,2412,1,2024-07-08,6,PENDING
6818,990,1,2022-07-23,1,SHIPPED
10244,1101,1,2024-11-01,2,DELIVERED
1321,2766,5,2021-06-16,2,DELIVERED
12597,2548,121,2022-09-24,1,DELIVERED
1522,1785,2,2024-10-31,3,DELIVERED
16685,1223,1,2022-12-10,2,DELIVERED
1483,2179,1,2024-02-28,1,DELIVERED
15196,90,1,2022-11-16,1,DELIVERED
21937,318,1,2024-10-30,2,DELIVERED
18125,751,1,2024-08-26,2,DELIVERED
2067,1414,1,2024-07-01,2,DELIVERED
23191,2741,1,2023-06-27,2,DELIVERED
213,274,7,2024-03-31,1,CANCELLED
5035,1892,1,2023-03-09,1,DELIVERED
5385,1321,1,2024-04-30,1,CANCELLED
20383,1692,4,2024-04-10,2,DELIVERED
2701,2294,1,2022-07-11,1,SHIPPED
3536,608,1,2024-03-30,1,DELIVERED
13209,2687,1,2024-06-07,1,DELIVERED
17532,2135,1,2022-06-14,1,DELIVERED
226,1868,5,2022-02-28,2,CANCELLED
19545,2011,37,2022-09-24,1,DELIVERED
7617,2606,2,2024-09-24,3,DELIVERED
17866,2380,1,2024-05-18,3,SHIPPED
18451,2379,34,2024-11-27,3,DELIVERED
21557,1773,5,2024-09-13,8,DELIVERED
10486,1418,162,2024-12-22,4,DELIVERED
17196,2237,7,2021-08-23,1,DELIVERED
16404,1057,1,2021-09-16,4,PENDING
18068,1868,11,2022-02-07,1,DELIVERED
16361,1625,4,2024-06-25,1,DELIVERED
7926,1164,1,2023-03-25,3,DELIVERED
3015,317,2,2024-05-09,2,DELIVERED
20372,290,9,2024-04-14,1,DELIVERED
19673,400,8,2024-10-30,2,DELIVERED
1639,969,1,2024-12-29,2,SHIPPED
6212,1838,10,2024-08-03,1,DELIVERED
13089,2769,1,2024-12-19,1,DELIVERED
9240,886,2,2020-10-25,1,DELIVERED
11215,1040,1,2024-05-09,1,DELIVERED
17773,2625,3,2022-11-25,1,DELIVERED
7966,1102,18,2024-08-28,6,DELIVERED
3998,3,1,2022-04-13,1,DELIVERED
16276,116,1,2024-09-08,3,DELIVERED
22551,2566,2,2024-11-23,1,DELIVERED
11440,212,42,2023-08-11,1,PENDING
4812,1550,4,2024-04-17,2,DELIVERED
26009,275,2,2021-08-05,2,DELIVERED
8892,62,1,2024-06-26,2,DELIVERED
23834,2513,5,2023-11-25,4,SHIPPED
4456,892,3,2022-10-24,1,DELIVERED
24850,2673,23,2024-08-09,1,DELIVERED
11845,939,4,2024-09-08,1,DELIVERED
821,39,1,2020-09-30,1,DELIVERED
27932,591,2,2024-11-12,1,DELIVERED
16579,1487,6,2020-04-05,1,DELIVERED
13348,326,2,2023-09-24,2,DELIVERED
15999,1975,2,2020-11-07,2,DELIVERED
17083,42,1,2022-11-12,1,DELIVERED
4885,116,1,2024-07-28,1,DELIVERED
2581,1807,3,2023-11-07,1,DELIVERED
14511,741,7777,2023-10-15,2,DELIVERED
19176,1526,3,2024-07-02,1,DELIVERED
3130,1250,1,2024-02-25,2,SHIPPED
20386,2620,3,2024-08-14,1,DELIVERED
1988,927,13,2024-06-19,1,SHIPPED
18335,519,11,2024-09-14,1,DELIVERED
22105,660,1,2023-10-28,1,DELIVERED
7676,2126,1,2022-12-24,1,DELIVERED
15263,364,1,2022-09-18,2,DELIVERED
27851,474,2,2024-08-25,2,DELIVERED
27543,1895,1,2023-11-01,2,DELIVERED
19394,189,1,2024-04-17,1,DELIVERED
24734,1082,2,2022-08-25,1,DELIVERED
3808,321,3,2024-09-28,2,DELIVERED
2105,1692,61,2024-03-02,2,DELIVERED
5778,161,1,2024-04-20,1,DELIVERED
9025,2435,1,2023-06-01,2,CANCELLED
13013,2775,12,2022-12-04,1,DELIVERED
25093,98,3,2024-08-15,1,DELIVERED
2175,474,31,2023-12-04,1,CANCELLED
23022,1565,1,2023-11-23,1,DELIVERED
20069,2257,15,2024-08-30,2,DELIVERED
26366,104,1,2024-04-19,1,SHIPPED
12213,1964,4,2023-09-23,1,DELIVERED
14095,1313,1,2022-08-12,1,CANCELLED
21223,2012,11,2023-04-07,1,DELIVERED
15659,1440,6,2024-02-01,2,DELIVERED
25434,2297,1,2024-03-15,1,DELIVERED
10927,2272,2,2023-09-06,2,DELIVERED
28053,1215,52,2023-06-17,1,DELIVERED
14924,1632,1,2023-07-23,1,DELIVERED
20024,2309,3,2024-01-25,5,DELIVERED
11153,1134,1,2020-11-11,1,DELIVERED
14365,2412,17,2022-11-25,3,PENDING
27782,2571,2,2023-08-02,2,DELIVERED
26441,300,2,2023-09-13,1,CANCELLED
15133,2353,2,2021-12-09,1,DELIVERED
1421,2298,2,2022-07-17,1,DELIVERED
23672,2474,1,2020-01-03,1,DELIVERED
5125,2112,1,2023-06-03,3,SHIPPED
2557,2129,1,2022-08-27,1,DELIVERED
28332,1365,19,2024-10-19,5,DELIVERED
16004,1673,91,2022-09-17,10,DELIVERED
399,615,11,2024-06-13,1,DELIVERED
11119,731,1,2022-06-05,2,DELIVERED
258,2597,31,2021-09-19,3,DELIVERED
15349,513,1,2023-05-24,2,DELIVERED
23206,1313,1,2024-03-27,1,DELIVERED
24581,437,1,2023-11-11,1,DELIVERED
8053,2667,1,2024-12-09,1,DELIVERED
21140,2760,2,2024-10-07,1,DELIVERED
16016,2412,77,2024-12-10,4,DELIVERED
21721,531,2,2024-03-02,2,DELIVERED
20968,483,3,2024-10-03,1,SHIPPED
5399,2218,2,2021-11-02,2,DELIVERED
12553,1183,7,2022-11-17,1,DELIVERED
2975,504,16,2022-01-07,1,DELIVERED
13027,697,1,2022-09-27,1,DELIVERED
27142,676,4,2024-01-04,2,CANCELLED
13654,1677,3,2024-10-07,2,SHIPPED
4646,457,4,2024-06-19,2,CANCELLED
27849,744,1,2021-04-05,1,PROCESSING
15729,1472,1,2024-10-01,1,DELIVERED
12677,233,1,2024-09-13,1,DELIVERED
5052,357,5,2024-10-17,1,DELIVERED
18774,2301,9,2024-05-09,3,DELIVERED
23544,2576,1,2020-07-03,1,SHIPPED
24885,1200,1,2024-03-08,2,DELIVERED
21789,503,1,2021-06-21,1,DELIVERED
15709,403,1,2023-06-11,1,DELIVERED
24151,2651,3,2024-11-18,1,DELIVERED
9391,2474,12,2023-11-05,3,DELIVERED
27952,2263,3,2020-07-04,1,CANCELLED
25207,993,7,2024-06-13,2,DELIVERED
23287,1757,1,2022-07-09,3,DELIVERED
23451,2332,2,2024-07-30,4,DELIVERED
17420,2749,1,2023-12-01,1,DELIVERED
4292,1765,2,2022-12-23,2,DELIVERED
2657,1555,52,2023-03-24,1,DELIVERED
25566,2179,3,2024-11-06,1,DELIVERED
6310,318,2,2024-03-11,1,DELIVERED
18595,178,1,2020-06-20,1,DELIVERED
6953,1923,2,2024-02-22,1,CANCELLED
25810,1238,3,2024-01-01,1,SHIPPED
24787,2401,1,2024-11-09,5,DELIVERED
6502,1695,1,2024-07-28,2,DELIVERED
7015,57,56,2024-02-12,1,DELIVERED
9910,778,1,2023-03-22,4,DELIVERED
11460,1233,26,2022-09-08,1,FAILED
23591,787,1,2022-03-22,1,CANCELLED
7651,955,2,2023-11-14,1,DELIVERED
11223,909,1,2024-09-02,2,DELIVERED
20392,2447,1,2024-06-06,3,DELIVERED
18303,2467,1,2023-06-08,2,CANCELLED
7306,34,1,2024-12-06,2,DELIVERED
117,1185,1,2022-09-04,2,DELIVERED
4255,479,1,2022-09-23,1,DELIVERED
21794,2735,3,2023-10-01,1,DELIVERED
13846,253,1,2024-12-25,1,CANCELLED
16978,1743,3,2021-07-13,1,DELIVERED
15219,990,6,2023-10-16,1,DELIVERED
17254,1516,5,2023-12-10,1,DELIVERED
20380,2013,1,2024-12-08,4,SHIPPED
17262,2132,30,2024-05-30,1,DELIVERED
15445,2263,14,2020-07-01,1,SHIPPED
24453,298,1,2022-10-05,1,DELIVERED
12700,1358,1,2023-12-09,1,SHIPPED
4613,2197,30,2023-11-28,1,PENDING
5049,284,3,2024-08-22,2,DELIVERED
23650,849,2,2024-10-23,1,DELIVERED
